,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Intangible Assets,1669700000.0,1826200000.0,1982700000.0,2139200000.0
Capital Surplus,2208300000.0,2208300000.0,2182300000.0,1196900000.0
Total Liab,69571900000.0,67116300000.0,77328000000.0,296022600000.0
Total Stockholder Equity,65838100000.0,64765300000.0,61931700000.0,73766200000.0
Other Current Liab,7284900000.0,5280100000.0,5576900000.0,10065400000.0
Total Assets,173465300000.0,169936900000.0,178439600000.0,372658900000.0
Common Stock,68534600000.0,68534600000.0,68404500000.0,59960000000.0
Other Current Assets,8235600000.0,5213600000.0,4962900000.0,9319200000.0
Retained Earnings,-33461200000.0,-34536000000.0,-37207900000.0,-15951200000.0
Other Liab,3291200000.0,3750500000.0,4222800000.0,12046700000.0
Good Will,1600000.0,1600000.0,1600000.0,1800000.0
Gains Losses Not Affecting Retained Earnings,28556400000.0,28558400000.0,28552800000.0,28560500000.0
Other Assets,6447800000.0,7008300000.0,7470300000.0,35795900000.0
Cash,619400000.0,401900000.0,907000000.0,719200000.0
Total Current Liabilities,21714000000.0,15782900000.0,21177500000.0,106119600000.0
Deferred Long Term Asset Charges,1204100000.0,2284100000.0,3033500000.0,10717600000.0
Short Long Term Debt,1807400000.0,100000000.0,4393100000.0,36938300000.0
Other Stockholder Equity,28556400000.0,28558400000.0,28552800000.0,28560500000.0
Property Plant Equipment,140304400000.0,145000600000.0,155300300000.0,309698500000.0
Total Current Assets,25041800000.0,16100200000.0,13684700000.0,25023500000.0
Net Tangible Assets,64166800000.0,62937500000.0,59947400000.0,71625200000.0
Net Receivables,10732400000.0,8318700000.0,4206800000.0,12497300000.0
Long Term Debt,44513000000.0,47515000000.0,51841400000.0,177856300000.0
Inventory,5187000000.0,1999400000.0,3423000000.0,2336100000.0
Accounts Payable,3314600000.0,2260700000.0,2230900000.0,3089000000.0
Minority Interest,,,1124600000.0,2870100000.0
